fid,left,top,right,bottom,terrainEle,terrainSlo,terrainAsp,surfaceEle,surfaceSlo,surfaceAsp,isOnsite,isZoned,zoneName,isForest,landCoverI,waterType,roadType,isRoad,isHedge,terSurfDif,hasSurfFea,isWater
117834,502306.3237,132622.4615,502308.6331,132620.4615,23.18948507,2.4935219,278.0602341,23.18899965,2.60609037,284.3073883,false,false,,false,4,,,false,false,0,false,false
117835,502306.3237,132620.4615,502308.6331,132618.4615,23.20448446,1.73605293,281.1817551,23.22149992,1.86376294,261.7588158,false,false,,false,4,,footpath,true,false,0.017,false,false
117836,502306.3237,132618.4615,502308.6331,132616.4615,23.21448517,1.36279966,316.1125412,23.20150042,1.52110507,163.5407275,false,false,,false,4,,footpath,true,false,-0.013,false,false
117837,502306.3237,132616.4615,502308.6331,132614.4615,23.24448395,1.21104421,267.9363098,23.2414999,1.54146108,259.3279076,false,false,,false,4,,,false,false,-0.003,false,false
117838,502306.3237,132614.4615,502308.6331,132612.4615,23.22948456,2.20906386,251.2175865,23.23150015,2.54563719,250.9910736,false,false,,false,4,,,false,false,0.002,false,false
117839,502306.3237,132612.4615,502308.6331,132610.4615,23.19698429,2.35587367,234.132225,23.19149971,2.96659809,213.868824,false,false,,false,4,,,false,false,-0.005,false,false
117840,502306.3237,132610.4615,502308.6331,132608.4615,23.16448498,4.24811232,246.4884186,23.1590004,5.95747447,141.2102931,false,false,,false,4,,,false,false,-0.005,false,false
117841,502306.3237,132608.4615,502308.6331,132606.4615,23.09198475,7.92975068,251.0910034,23.35650015,21.89812279,197.0888619,false,false,,false,4,,,false,false,0.265,false,false
117842,502306.3237,132606.4615,502308.6331,132604.4615,23.02948475,9.94324815,249.6903114,24.44150019,32.32270145,128.7596645,false,false,,false,4,,,false,false,1.412,true,false
117843,502306.3237,132604.4615,502308.6331,132602.4615,22.89198494,11.61120856,237.6549225,24.17649984,41.42034245,129.2519989,false,false,,false,4,,,false,false,1.285,true,false
117844,502306.3237,132602.4615,502308.6331,132600.4615,22.73448467,13.913396,229.2234535,23.02650023,14.32600653,171.8206425,false,false,,false,4,,,false,false,0.292,false,false
117845,502306.3237,132600.4615,502308.6331,132598.4615,22.24712563,15.2253778,215.5626946,23.00750017,16.62451506,165.4551621,false,true,emphemeralWetlandZone,false,4,,,false,false,0.76,false,false
117846,502306.3237,132598.4615,502308.6331,132596.4615,21.86212587,11.82759714,196.9720192,22.9124999,11.80812228,155.5801895,false,true,emphemeralWetlandZone,false,4,,,false,false,1.05,true,false
117847,502306.3237,132596.4615,502308.6331,132594.4615,21.50212574,6.56992036,169.4064674,23.39750004,32.80983496,208.1160946,false,true,emphemeralWetlandZone,false,4,river,,false,false,1.895,true,true
117848,502306.3237,132594.4615,502308.6331,132592.4615,21.49962568,5.22264516,185.7840436,22.25750065,24.07565308,187.2263947,true,true,emphemeralWetlandZone,false,4,river,,false,false,0.758,false,true
117849,502306.3237,132592.4615,502308.6331,132590.4615,21.59462547,3.595433,226.347847,21.7125001,23.13523567,239.060585,true,true,emphemeralWetlandZone,false,4,river,,false,false,0.118,false,true
